Title, Studio, Ratings
Dr. Stone,TMS Entertainment,8.28
Enen no Shouboutai,David Production,7.62
Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka II,J.C.Staff,7.35
Vinland Saga,Wit Studio,8.58
Arifureta Shokugyou de Sekai Saikyou,Asread,6.53
Dumbbell Nan Kilo Moteru?,Doga Kobo,7.58
Isekai Cheat Magician,Encourage Films,5.53
Tsuujou Kougeki ga Zentai Kougeki de Ni-kai Kougeki no Okaasan wa Suki Desu ka?,J.C.Staff,5.75
Araburu Kisetsu no Otome-domo yo.,Lay-duce,7.78
Tejina-senpai,LIDENFILMS,6.64
Kanata no Astra,Lerche,8.26
Kawaikereba Hentai demo Suki ni Natte Kuremasu ka?,GEEKTOYS,6.79
Toaru Kagaku no Accelerator,A.C.G.T.,7.14
Karakai Jouzu no Takagi-san 2,Shin-Ei Animation,8.35
Uchi no Ko no Tame naraba  Ore wa Moshikashitara Maou mo Taoseru kamo Shirenai.,Maho Film,7.12
Maou-sama  Retry!,EKACHI EPILKA,6.57
Lord El-Melloi II Sei no Jikenbo: Rail Zeppelin Grace Note,TROYCA,7.41
Given,Lerche,8.23
Sounan Desu ka?,Ezόla,6.78
Cop Craft,Millepensee,6.89
Katsute Kami Datta Kemono-tachi e,MAPPA,6.54
Nakanohito Genome [Jikkyouchuu],Silver Link.,6.96
Machikado Mazoku,J.C.Staff,7.79
Joshikousei no Mudazukai,Passione,7.77
Bem,LandQ studios,6.13
Granbelm,Nexus,7.01
Senki Zesshou Symphogear XV,Satelight,8.47
Ensemble Stars!,David Production,6.36
Kochouki: Wakaki Nobunaga,Studio Deen,6.60
Try Knights,Gonzo,4.75
Yubisaki kara no Honki no Netsujou: Osananajimi wa Shouboushi,Studio Hokiboshi,5.76
Yami Shibai 7,ILCA,5.85
Re:Stage! Dream Days♪,Graphinica,6.75
Starmyu 3rd Season,C-Station,6.90
Business Fish,Studio not Found,6.09
Hakata Mentai!  Pirikarako-chan,G-angle,5.06
Great Pretender,Wit Studio,3.12
Cardfight!! Vanguard: Shinemon-hen,OLM,6.33
Waresho! Warera! Shodobutsu Aigo Iinkai,Studio not Found,N/A
